Architektura;"Politechnika Krakowska im. Tadeusza Kościuszki; Wydział Architektury"
Architektura [do 2012-09-30 Architektura i urbanistyka];"Politechnika Wrocławska; Wydział Architektury"
Architektura [do 2012-09-30 Architektura i urbanistyka];Państwowa Wyższa Szkoła Zawodowa w Nysie
Architektura;"Politechnika Łódzka; Wydział Budownictwa, Architektury i Inżynierii Środowiska"
Architektura [do 2012-09-30 Architektura i urbanistyka];"Wyższa Szkoła Ekologii i Zarządzania w Warszawie; Wydział Architektury"
Architektura [do 2014-09-30 Architektura i urbanistyka];"Politechnika Poznańska; Wydział Architektury"
Architektura [do 2015-02-05 Architektura i urbanistyka];Podhalańska Państwowa Wyższa Szkoła Zawodowa w Nowym Targu
Architektura [do 2014-09-14 Architektura i urbanistyka];"Sopocka Szkoła Wyższa z siedzibą w Sopocie; Wydział Architektury"
Architektura [do 2014-09-28 Architektura i urbanistyka];"Wyższa Szkoła Zawodowa „Kadry dla Europy” w Poznaniu z siedzibą w Poznaniu; Wydział Architektury i Nauk Społecznych"
Architektura [do 2012-09-30 Architektura i urbanistyka];"Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie; Wydział Nauk Technicznych"
Architektura i urbanistyka;"Politechnika Łódzka; Wydział Budownictwa, Architektury i Inżynierii Środowiska"
Architektura i urbanistyka;Państwowa Wyższa Szkoła Zawodowa w Raciborzu
Architektura i urbanistyka;"Uniwersytet Zielonogórski; Wydział Budownictwa, Architektury i Inżynierii Środowiska"
Architektura i urbanistyka;"Politechnika Śląska; Wydział Architektury"
Architektura i urbanistyka;"Politechnika Białostocka; Wydział Architektury"
Architektura i urbanistyka;"Politechnika Warszawska; Wydział Architektury"
Architektura i urbanistyka;"Szkoła Wyższa im. Bogdana Jańskiego w Warszawie; Wydział Zarządzania w Warszawie"
Architektura i urbanistyka;"Wyższa Szkoła Menedżerska w Legnicy; Wydział Architektury i Urbanistyki"
Architektura i urbanistyka;"Wyższa Szkoła Sztuki i Projektowania w Łodzi; Wydział Architektury"
Architektura i urbanistyka;"Wyższa Szkoła Techniczna w Katowicach; Wydział Architektury, Budownictwa i Sztuk Stosowanych"
Architektura i urbanistyka;"Akademia Finansów i Biznesu Vistula; Europejski Wydział Sztuk"
Architektura i urbanistyka;"Społeczna Akademia Nauk z siedzibą w Łodzi; Społeczna Akademia Nauk Filia w Warszawie; Wydział Zamiejscowy w Warszawie"
Architektura krajobrazu;"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie; Wydział Ogrodnictwa, Biotechnologii i Architektury Krajobrazu"
Architektura krajobrazu;"Politechnika Białostocka; Wydział Budownictwa i Inżynierii Środowiska"
Architektura krajobrazu;"Uniwersytet Przyrodniczy w Poznaniu; Wydział Ogrodnictwa i Architektury Krajobrazu"
Architektura krajobrazu;Wyższa Szkoła Zarządzania Środowiskiem w Tucholi
Architektura krajobrazu;"Wyższa Szkoła Ekologii i Zarządzania w Warszawie; Wydział Architektury"
Architektura krajobrazu;"Sopocka Szkoła Wyższa z siedzibą w Sopocie; Wydział Architektury"
Architektura krajobrazu;"Uniwersytet Przyrodniczy we Wrocławiu; Wydział Inżynierii Kształtowania Środowiska i Geodezji"
Architektura krajobrazu;"Uniwersytet Zielonogórski; Wydział Budownictwa, Architektury i Inżynierii Środowiska"
Architektura wnętrz;"Politechnika Białostocka; Wydział Architektury"
