Administracja;"Szkoła Wyższa im. Pawła Włodkowica w Płocku; Wydział Administracji"
Administracja;"Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Gdański; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Łódzki; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Łódzki; Filia Uniwersytetu Łódzkiego w Tomaszowie Mazowieckim; Instytut Turystyki i Rozwoju Gospodarczego Filii Uniwersytetu Łódzkiego w Tomaszowie Mazowieckim"
Administracja;Szkoła Główna Handlowa w Warszawie
Administracja;"Uniwersytet Wrocławski; Wydział Prawa, Administracji i Ekonomii"
Administracja;"Wyższa Szkoła Informatyki, Zarządzania i Administracji w Warszawie; Wydział Nauk Społecznych i Administracji"
Administracja;"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie; Wydział Prawa i Administracji"
Administracja;"Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Śląski w Katowicach; Wydział Prawa i Administracji"
Administracja;"Wyższa Szkoła Informatyki i Zarządzania z siedziba w Rzeszowie; Wydział Administracji i Nauk Społecznych"
Administracja;"Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydział Nauk Ekonomicznych i Prawnych"
Administracja;"Uniwersytet Jagielloński w Krakowie; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Warmińsko-Mazurski w Olsztynie; Wydział Prawa i Administracji"
Administracja;"Uczelnia Łazarskiego w Warszawie; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Mikołaja Kopernika w Toruniu; Wydział Prawa i Administracji"
Administracja;"Politechnika Warszawska; Wydział Administracji i Nauk Społecznych"
Administracja;Państwowa Wyższa Szkoła Zawodowa im. Angelusa Silesiusa w Wałbrzychu
Administracja;"Uniwersytet Szczeciński; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Warszawski; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Kazimierza Wielkiego w Bydgoszczy; Wydział Administracji i Nauk Społecznych"
Administracja;Akademia Leona Koźmińskiego w Warszawie
Administracja;"Wyższa Szkoła Humanistyczno-Przyrodnicza Studium Generale Sandomiriense w Sandomierzu; Wydział Prawa i Ekonomii"
Administracja;"Wyższa Szkoła Handlowa w Radomiu; Wydział Nauk Prawnych"
Administracja;"Uniwersytet Szczeciński; Zamiejscowy Wydział Administracji w Jarocinie"
Administracja;"Wyższa Szkoła Prawa i Administracji w Przemyślu; Zamiejscowy Wydział Prawa i Administracji w Rzeszowie"
Administracja;"Wyższa Szkoła Humanitas w Sosnowcu; Wydział Administracji i Zarządzania"
Administracja;"Wyższa Szkoła Ekonomii i Innowacji w Lublinie; Wydział Administracji"
Administracja;"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu; Wydział Ekonomiczny"
Administracja;"Gdańska Szkoła Wyższa z siedzibą w Gdańsku; Wydział Administracji"
Administracja;"Uniwersytet w Białymstoku; Wydział Prawa"
Administracja;"Wyższa Szkoła Pedagogiki i Administracji im. Mieszka I w Poznaniu; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Opolski; Wydział Prawa i Administracji"
Administracja;"Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie; Wydział Prawa, Prawa Kanonicznego i Administracji"
Administracja;"Wyższa Szkoła Zarządzania i Bankowości w Poznaniu; Wydział Administracji"
Administracja;"Wyższa Szkoła Menedżerska w Warszawie; Wydział Prawa i Administracji"
Administracja;Wyższa Szkoła Administracji Publicznej imienia Stanisława Staszica w Białymstoku
Administracja;"Wyższa Szkoła Administracyjno-Społeczna w Warszawie; Wydział Administracji"
Administracja;"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie; Wydział Prawa, Administracji i Stosunków Międzynarodowych"
Administracja;"Uniwersytet Jana Kochanowskiego w Kielcach; Wydział Zarządzania i Administracji"
Administracja;"Akademia im. Jana Długosza w Częstochowie; Wydział Nauk Społecznych"
Administracja;"Uniwersytet Rzeszowski; Wydział Prawa i Administracji"
Administracja;"Elbląska Uczelnia Humanistyczno-Ekonomiczna w Elblągu; Wydział Administracji i Nauk Społecznych"
Administracja;"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie; Wydział Humanistyczny"
Administracja;"Politechnika Warszawska; Wydział Administracji i Nauk Społecznych"
Administracja;"Akademia Obrony Narodowej; Wydział Bezpieczeństwa Narodowego"
Administracja;"Uniwersytet Zielonogórski; Wydział Prawa i Administracji"
Administracja;"Kujawsko-Pomorska Szkoła Wyższa w Bydgoszczy; Wydział Prawa, Administracji i Ekonomii"
Akustyka;"Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydział Fizyki"
Amerykanistyka;"Uniwersytet Jagielloński w Krakowie; Wydział Studiów Międzynarodowych i Politycznych"
Analityka gospodarcza;"Politechnika Gdańska; Wydział Zarządzania i Ekonomii"
Analityka gospodarcza;"Uniwersytet Ekonomiczny w Katowicach; Wydział Zarządzania"
Analiza danych - big data;Szkoła Główna Handlowa w Warszawie
Andragogika;"Uniwersytet Warszawski; Wydział Pedagogiczny"
Archeologia;"Uniwersytet Jagielloński w Krakowie; Wydział Historyczny"
Archeologia;"Uniwersytet Warszawski; Wydział Historyczny"
Architektura;"Politechnika Krakowska im. Tadeusza Kościuszki; Wydział Architektury"
Architektura [do 2012-09-30 Architektura i urbanistyka];"Politechnika Wrocławska; Wydział Architektury"
Architektura;"Politechnika Łódzka; Wydział Budownictwa, Architektury i Inżynierii Środowiska"
Architektura [do 2012-06-24 Architektura i urbanistyka];"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Budownictwa i Architektury"
Architektura [do 2012-09-30 Architektura i urbanistyka];"Wyższa Szkoła Ekologii i Zarządzania w Warszawie; Wydział Architektury"
Architektura [do 2014-09-30 Architektura i urbanistyka];"Politechnika Poznańska; Wydział Architektury"
Architektura [do 2015-03-29 Architektura i urbanistyka];"Politechnika Śląska; Wydział Architektury"
Architektura i urbanistyka;"Politechnika Łódzka; Wydział Budownictwa, Architektury i Inżynierii Środowiska"
Architektura i urbanistyka;"Politechnika Białostocka; Wydział Architektury"
Architektura i urbanistyka;"Politechnika Warszawska; Wydział Architektury"
Architektura i urbanistyka;"Uniwersytet Artystyczny w Poznaniu; Wydział Architektury i Wzornictwa"
Architektura krajobrazu;"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie; Wydział Ogrodnictwa, Biotechnologii i Architektury Krajobrazu"
Architektura krajobrazu;"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Kształtowania Środowiska i Rolnictwa"
Architektura krajobrazu;"Uniwersytet Przyrodniczy w Poznaniu; Wydział Ogrodnictwa i Architektury Krajobrazu"
Architektura krajobrazu;"Uniwersytet Przyrodniczy we Wrocławiu; Wydział Inżynierii Kształtowania Środowiska i Geodezji"
Architektura krajobrazu;"Uniwersytet Rzeszowski; Wydział Biologiczno-Rolniczy"
Architektura wnętrz;"Politechnika Śląska; Wydział Architektury"
Architektura wnętrz;"Akademia Sztuk Pięknych w Warszawie; Wydział Architektury Wnętrz"
Architektura wnętrz;"Politechnika Białostocka; Wydział Architektury"
Architektura wnętrz;"Akademia Sztuk Pięknych im. Eugeniusza Gepperta we Wrocławiu; Wydział Architektury Wnętrz i Wzornictwa"
Architektura wnętrz;"Akademia Sztuk Pięknych im. Jana Matejki w Krakowie; Wydział Architektury Wnętrz"
