Agrobiznes;"Uniwersytet Przyrodniczy w Lublinie; Wydział Agrobioinżynierii"
Agrobiznes;"Uniwersytet Przyrodniczy we Wrocławiu; Wydział Przyrodniczo-Technologiczny"
Analityka chemiczna i spożywcza;"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy; Wydział Technologii i Inżynierii Chemicznej"
Architektura;"Politechnika Krakowska im. Tadeusza Kościuszki; Wydział Architektury"
Architektura [do 2012-09-30 Architektura i urbanistyka];"Politechnika Wrocławska; Wydział Architektury"
Architektura [do 2013-09-30 Architektura i urbanistyka];"Politechnika Lubelska; Wydział Budownictwa i Architektury"
Architektura [do 2012-09-30 Architektura i urbanistyka];Państwowa Wyższa Szkoła Zawodowa w Nysie
Architektura;"Politechnika Łódzka; Wydział Budownictwa, Architektury i Inżynierii Środowiska"
Architektura [do 2014-09-30 Architektura i urbanistyka];"Politechnika Świętokrzyska w Kielcach; Wydział Budownictwa i Architektury"
Architektura [do 2012-05-27 Architektura i urbanistyka];"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Budownictwa i Architektury"
Architektura [do 2012-09-30 Architektura i urbanistyka];"Politechnika Gdańska; Wydział Architektury"
Architektura [do 2014-12-16 Architektura i urbanistyka];"Politechnika Opolska; Wydział Budownictwa"
Architektura [do 2012-09-30 Architektura i urbanistyka];"Politechnika Rzeszowska im. Ignacego Łukasiewicza; Wydział Budownictwa, Inżynierii Środowiska i Architektury"
Architektura [do 2012-09-30 Architektura i urbanistyka];"Wyższa Szkoła Ekologii i Zarządzania w Warszawie; Wydział Architektury"
Architektura [do 2014-09-30 Architektura i urbanistyka];"Politechnika Poznańska; Wydział Architektury"
Architektura [do 2015-02-05 Architektura i urbanistyka];Podhalańska Państwowa Wyższa Szkoła Zawodowa w Nowym Targu
Architektura [do 2014-09-14 Architektura i urbanistyka];"Sopocka Szkoła Wyższa z siedzibą w Sopocie; Wydział Architektury"
Architektura [do 2012-09-30 Architektura i urbanistyka];"Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie; Wydział Nauk Technicznych"
Architektura i urbanistyka;"Politechnika Łódzka; Wydział Budownictwa, Architektury i Inżynierii Środowiska"
Architektura i urbanistyka;Państwowa Wyższa Szkoła Zawodowa w Raciborzu
Architektura i urbanistyka;"Uniwersytet Zielonogórski; Wydział Budownictwa, Architektury i Inżynierii Środowiska"
Architektura i urbanistyka;"Politechnika Śląska; Wydział Architektury"
Architektura i urbanistyka;"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy; Wydział Budownictwa, Architektury i Inżynierii Środowiska"
Architektura i urbanistyka;"Politechnika Białostocka; Wydział Architektury"
Architektura i urbanistyka;"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie; Wydział Architektury i Sztuk Pięknych"
Architektura i urbanistyka;"Politechnika Warszawska; Wydział Architektury"
Architektura i urbanistyka;"Szkoła Wyższa im. Bogdana Jańskiego w Warszawie; Wydział Zarządzania w Warszawie"
Architektura i urbanistyka;"Wyższa Szkoła Sztuki i Projektowania w Łodzi; Wydział Architektury"
