Administracja;"Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Gdański; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Łódzki; Wydział Prawa i Administracji"
Administracja;Szkoła Główna Handlowa w Warszawie
Administracja;"Uniwersytet Wrocławski; Wydział Prawa, Administracji i Ekonomii"
Administracja;"Wyższa Szkoła Informatyki, Zarządzania i Administracji w Warszawie; Wydział Nauk Społecznych i Administracji"
Administracja;"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie; Wydział Prawa i Administracji"
Administracja;"Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Śląski w Katowicach; Wydział Prawa i Administracji"
Administracja;"Wyższa Szkoła Informatyki i Zarządzania z siedziba w Rzeszowie; Wydział Administracji i Nauk Społecznych"
Administracja;"Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydział Nauk Ekonomicznych i Prawnych"
Administracja;"Uniwersytet Jagielloński w Krakowie; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Warmińsko-Mazurski w Olsztynie; Wydział Prawa i Administracji"
Administracja;"Uczelnia Łazarskiego w Warszawie; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Mikołaja Kopernika w Toruniu; Wydział Prawa i Administracji"
Administracja;"Politechnika Warszawska; Wydział Administracji i Nauk Społecznych"
Administracja;Państwowa Wyższa Szkoła Zawodowa im. Angelusa Silesiusa w Wałbrzychu
Administracja;"Uniwersytet Kazimierza Wielkiego w Bydgoszczy; Wydział Administracji i Nauk Społecznych"
Administracja;Akademia Leona Koźmińskiego w Warszawie
Administracja;"Uniwersytet Szczeciński; Zamiejscowy Wydział Administracji w Jarocinie"
Administracja;"Wyższa Szkoła Prawa i Administracji w Przemyślu; Zamiejscowy Wydział Prawa i Administracji w Rzeszowie"
Administracja;"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu; Wydział Ekonomiczny"
Administracja;"Uniwersytet w Białymstoku; Wydział Prawa"
Administracja;"Uniwersytet Opolski; Wydział Prawa i Administracji"
Administracja;"Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie; Wydział Prawa, Prawa Kanonicznego i Administracji"
Administracja;Wyższa Szkoła Administracji Publicznej imienia Stanisława Staszica w Białymstoku
Administracja;"Uniwersytet Jana Kochanowskiego w Kielcach; Wydział Zarządzania i Administracji"
Administracja;"Akademia im. Jana Długosza w Częstochowie; Wydział Nauk Społecznych"
Administracja;"Uniwersytet Rzeszowski; Wydział Prawa i Administracji"
Administracja;"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie; Wydział Humanistyczny"
Administracja;"Politechnika Warszawska; Wydział Administracji i Nauk Społecznych"
Administracja;"Akademia Obrony Narodowej; Wydział Bezpieczeństwa Narodowego"
Administracja;"Uniwersytet Zielonogórski; Wydział Prawa i Administracji"
Agrobiznes;"Uniwersytet Przyrodniczy w Lublinie; Wydział Agrobioinżynierii"
Akustyka;"Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydział Fizyki"
Amerykanistyka;"Uniwersytet Gdański; Wydział Filologiczny"
Amerykanistyka;"Uniwersytet Jagielloński w Krakowie; Wydział Studiów Międzynarodowych i Politycznych"
Analityka chemiczna;"Uniwersytet Łódzki; Wydział Chemii"
Analityka gospodarcza;"Politechnika Gdańska; Wydział Zarządzania i Ekonomii"
Analityka gospodarcza;"Uniwersytet Ekonomiczny w Katowicach; Wydział Zarządzania"
Analityka gospodarcza;"Uniwersytet Łódzki; Wydział Ekonomiczno-Socjologiczny"
Analityka gospodarcza;"Uniwersytet Ekonomiczny w Krakowie; Wydział Zarządzania"
Analiza danych - big data;Szkoła Główna Handlowa w Warszawie
Andragogika;"Uniwersytet Warszawski; Wydział Pedagogiczny"
animacja;"Uniwersytet Artystyczny w Poznaniu; Wydział Animacji"
Antropologia języka i komunikacji;"Uniwersytet Śląski w Katowicach; Wydział Filologiczny"
Antropologia literatury, teatru i filmu;"Uniwersytet Wrocławski; Wydział Filologiczny"
Applied Petroleum Geosciences;"Uniwersytet Warszawski; Wydział Chemii
Uniwersytet Warszawski; Wydział Geologii"
Archeologia;"Uniwersytet Łódzki; Wydział Filozoficzno-Historyczny"
Archeologia;"Uniwersytet Gdański; Wydział Historyczny"
Archeologia;"Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Humanistyczny"
Archeologia;"Uniwersytet Wrocławski; Wydział Nauk Historycznych i Pedagogicznych"
